MPG,eng_displ,
16,4.7,
14,4.7,
15,4.2,
15,4.2,
16,5.2,
15,5.2,
24,2.0,
14,6.0,
22,3.0,
22,3.0,
20,3.0,
20,3.0,
10,8.0,
16,6.2,
18,6.2,
19,6.2,
18,7.0,
16,8.4,
16,8.4,
14,4.5,
12,5.7,
12,5.7,
16,5.2,
15,5.2,
16,5.2,
14,5.2,
10,6.5,
11,6.5,
11,6.5,
10,6.5,
11,6.5,
23,1.8,
22,1.8,
24,2.0,
24,2.0,
23,2.0,
16,5.5,
21,3.0,
21,3.5,
20,3.5,
20,3.5,
17,5.5,
36,1.0,
36,1.0,
21,3.7,
22,3.7,
21,3.7,
20,3.7,
22,2.0,
23,2.0,
21,2.4,
22,2.4,
16,3.8,
16,3.8,
22,2.9,
24,2.9,
22,3.4,
23,3.4,
22,2.9,
24,2.9,
22,3.4,
23,3.4,
22,2.0,
23,2.0,
22,2.4,
21,2.4,
17,4.2,
13,5.9,
15,5.9,
13,5.9,
14,5.9,
15,4.3,
19,5.0,
17,5.0,
18,5.0,
19,4.3,
21,3.5,
31,1.6,
28,1.6,
32,1.6,
28,1.6,
27,1.6,
29,1.6,
27,1.6,
29,1.6,
28,1.6,
28,1.6,
22,2.4,
19,3.8,
21,3.6,
22,3.6,
21,3.6,
21,3.6,
21,3.6,
21,3.6,
21,3.6,
21,3.6,
20,3.8,
21,3.8,
20,3.8,
21,3.8,
20,3.8,
21,3.8,
21,3.6,
22,3.6,
21,3.8,
22,3.8,
22,3.8,
21,3.8,
19,3.8,
19,3.8,
19,3.8,
19,3.8,
19,3.8,
19,3.8,
23,2.5,
15,5.9,
26,2.0,
23,2.0,
23,2.0,
25,2.0,
21,3.2,
19,4.2,
17,4.2,
20,3.0,
24,2.0,
12,6.0,
21,3.0,
22,3.0,
22,3.0,
22,3.0,
20,3.0,
20,3.0,
20,3.0,
20,3.0,
22,3.0,
22,3.0,
21,3.0,
20,3.0,
20,3.0,
20,3.0,
20,3.0,
20,3.0,
20,3.0,
20,3.0,
20,3.0,
19,3.0,
18,4.8,
18,4.8,
16,4.8,
18,4.8,
16,4.0,
16,4.0,
16,4.0,
16,4.0,
13,5.0,
13,5.0,
13,5.0,
13,5.0,
28,1.6,
30,1.6,
29,2.2,
27,2.2,
25,2.0,
30,2.2,
19,4.0,
21,4.0,
19,4.6,
19,4.6,
17,5.4,
28,1.8,
29,1.8,
29,1.8,
24,2.0,
23,2.0,
24,2.0,
21,3.8,
20,3.8,
19,3.7,
20,3.7,
20,3.7,
22,3.7,
20,3.7,
22,2.5,
21,2.5,
24,2.5,
20,3.5,
18,5.0,
15,4.2,
15,4.7,
15,4.7,
18,1.3,
19,1.3,
20,3.5,
18,5.5,
31,1.6,
28,1.6,
27,1.6,
29,1.6,
28,1.6,
23,2.4,
23,2.4,
19,3.8,
19,3.8,
26,2.5,
26,2.5,
21,3.5,
23,3.5,
17,3.8,
29,2.2,
27,2.2,
26,2.2,
29,2.2,
30,2.2,
17,4.6,
18,4.6,
23,2.0,
22,2.0,
30,1.6,
26,1.6,
24,2.4,
23,2.4,
29,1.8,
29,1.8,
31,1.5,
32,1.5,
25,2.0,
25,2.0,
23,2.5,
23,2.5,
22,2.5,
23,2.5,
23,2.4,
25,2.4,
21,3.5,
26,2.0,
23,2.0,
25,2.0,
21,3.0,
21,3.0,
11,6.8,
11,6.8,
13,6.0,
22,3.0,
22,3.0,
20,3.0,
